Category,Code,Percentage Change
HEFAMINC,2,282.87266012354013
HEFAMINC,2,1.1385088780107533
HEFAMINC,2,-76.81712053394781
HEFAMINC,2,46.29886425101362
HEFAMINC,16,492.97221514039273
HEFAMINC,16,-24.586076150721983
HEFAMINC,16,-54.17683300395096
HEFAMINC,16,21.77142346141548
HEFAMINC,10,-4.801170264899169
HEFAMINC,10,-74.53019554150347
HEFAMINC,10,488.72780586581933
HEFAMINC,10,-78.33954190817678
HEFAMINC,7,-14.271317858662263
HEFAMINC,7,42.123880217605326
HEFAMINC,7,113.37696211699857
HEFAMINC,7,-16.87002893290222
HEFAMINC,3,-70.59470072780532
HEFAMINC,3,-33.71665497638084
HEFAMINC,3,230.2012238467264
HEFAMINC,3,66.68287895133915
HEFAMINC,11,-53.17733319260283
HEFAMINC,11,-13.443198959782906
HEFAMINC,11,212.46925679206083
HEFAMINC,11,-47.54829225924574
HEFAMINC,12,19.242423806763995
HEFAMINC,12,-9.587042623448683
HEFAMINC,12,53.87092362246888
HEFAMINC,12,13.535860870328765
HEFAMINC,4,190.14215128724635
HEFAMINC,4,-51.40211535778791
HEFAMINC,4,52.638615302670274
HEFAMINC,4,-32.32296381575674
HEFAMINC,9,48.66758444435489
HEFAMINC,9,113.27220735685228
HEFAMINC,9,-81.31842692929965
HEFAMINC,9,67.64354070683535
HEFAMINC,14,19.59900276578227
HEFAMINC,14,-22.37409079588672
HEFAMINC,14,125.30136414688482
HEFAMINC,14,-28.811245282887505
HEFAMINC,13,103.76179615093571
HEFAMINC,13,13.836048682441815
HEFAMINC,13,-71.92859842704267
HEFAMINC,13,46.4769084143662
HEFAMINC,15,-72.61361623984207
HEFAMINC,15,1285.753303262594
HEFAMINC,15,-92.48087319362213
HEFAMINC,15,396.9159604487024
HEFAMINC,8,-22.826130081176764
HEFAMINC,8,-36.361251481660766
HEFAMINC,8,61.7482994231832
HEFAMINC,8,45.34178947274793
HEFAMINC,6,-82.34351680471562
HEFAMINC,6,-44.38341708095319
HEFAMINC,6,109.34273028304666
HEFAMINC,6,474.1738562356642
HEFAMINC,5,13.492147371884863
HEFAMINC,5,-84.44414915215694
HEFAMINC,5,596.2988198983214
HEFAMINC,5,-22.15241078316837
PEMARITL,4,21.535197977267607
PEMARITL,4,-10.162098759300742
PEMARITL,4,4.864867072085752
PEMARITL,4,54.070387842369335
PEMARITL,-1,1.5318601190417045
PEMARITL,-1,-3.326812626115979
PEMARITL,-1,-4.892419738059891
PEMARITL,-1,13.75452086157279
PEMARITL,1,2.948560632126889
PEMARITL,1,21.263009528662725
PEMARITL,1,6.39023741320844
PEMARITL,1,-33.131453973135336
PEMARITL,5,480.60325895524727
PEMARITL,5,-83.37521952743583
PEMARITL,5,-8.933594537211595
PEMARITL,5,171.97288498845924
PEMARITL,6,-19.178939727025814
PEMARITL,6,27.499551412764333
PEMARITL,6,36.02448143490191
PEMARITL,6,4.798745480070825
PEMARITL,3,-16.438553582051956
PEMARITL,3,-13.218706049669013
PEMARITL,3,10.995032991578297
PEMARITL,3,11.340391397472992
PEMARITL,2,-1.3104786127650019
PEMARITL,2,15.327071120058221
PEMARITL,2,45.65726859480198
PEMARITL,2,-28.44693169566781
PEEDUCA,39,-5.649610861947937
PEEDUCA,39,-8.587299808620239
PEEDUCA,39,11.583126560502167
PEEDUCA,39,11.41399791134724
PEEDUCA,-1,1.5318601190417045
PEEDUCA,-1,-3.326812626115979
PEEDUCA,-1,-4.892419738059891
PEEDUCA,-1,13.75452086157279
PEEDUCA,38,-6.150590537373874
PEEDUCA,38,-33.21199931304349
PEEDUCA,38,231.05442986460773
PEEDUCA,38,-63.90405858013811
PEEDUCA,44,-67.35424493181725
PEEDUCA,44,49.34466706383465
PEEDUCA,44,-19.768453136489423
PEEDUCA,44,64.11975402518519
PEEDUCA,40,-5.170787084586915
PEEDUCA,40,51.35543023765242
PEEDUCA,40,2.4717381969659185
PEEDUCA,40,-19.225205173473388
PEEDUCA,35,281.84818281641515
PEEDUCA,35,-40.08722759084779
PEEDUCA,35,151.5751110696673
PEEDUCA,35,-60.43156105260044
PEEDUCA,43,0.5468513665231058
PEEDUCA,43,20.13276097022106
PEEDUCA,43,15.725091075119895
PEEDUCA,43,-15.92945907234756
PEEDUCA,36,-41.856478596602955
PEEDUCA,36,-3.609530354292113
PEEDUCA,36,174.519704504367
PEEDUCA,36,13.021631910982318
PEEDUCA,33,-17.193427935387973
PEEDUCA,33,-62.85722869868645
PEEDUCA,33,3.365774127219144
PEEDUCA,42,4.202103196913003
PEEDUCA,42,80.4562293742721
PEEDUCA,42,-39.943799274221156
PEEDUCA,42,-36.07262112626696
PEEDUCA,32,1.128700743962965
